"SCHOOLID"	"SEX"	"KIND"	"GRADE"	"MATH"	"ESCS"	"CHANGE"	"FAMSTRUC"	"READ"	"TECH"	"LYCEUM"	"EARLY"	"ESCSM"	"SCHLSIZE"	"SCMATEDU"	"SCMATBUI"	"PROPSTAY"	"ISTMED"	"ISTLAR"	"MEDDISC"	"MEDSTUR"	"PCGMED"	"PCGALT"
"46"	14007	"Female"	1	1	554.7905	1.34522	"Yes"	"1"	539.1787	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"47"	14007	"Female"	1	1	593.8931	-0.12587	"Yes"	"1"	559.6756	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"48"	14007	"Male"	1	1	675.4479	2.26414	"Yes"	"1"	542.1745	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"49"	14007	"Female"	1	1	588.2848	-0.41552	"Yes"	"1"	555.8622	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"50"	14007	"Female"	0	1	594.9057	0.27934	"Yes"	"1"	627.8398	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"51"	14007	"Female"	1	1	631.2821	-0.1732	"Yes"	"0"	543.9454	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"52"	14007	"Female"	1	1	615.8592	-1.06457	"Yes"	"0"	599.5572	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"53"	14007	"Female"	1	1	647.4061	0.19993	"Yes"	"1"	614.8108	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"54"	14007	"Male"	1	1	601.2151	0.83126	"Yes"	"1"	501.6689	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"55"	14007	"Male"	1	1	594.5163	1.52823	"Yes"	"1"	638.0244	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"56"	14007	"Male"	1	1	554.7126	0.19993	"Yes"	"0"	645.6442	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"57"	14007	"Male"	1	1	609.4719	-1.05091	"Yes"	"1"	617.0096	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"58"	14007	"Female"	1	1	611.2634	-0.46575	"Yes"	"1"	609.6468	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"59"	14007	"Male"	1	1	644.6799	1.17959	"Yes"	"1"	631.6076	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"60"	14007	"Female"	1	1	647.484	1.20573	"Yes"	"1"	547.9177	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"61"	14007	"Female"	1	1	618.196	1.20573	"Yes"	"1"	590.0238	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"62"	14007	"Male"	1	1	667.3469	0.16502	"Yes"	"1"	539.0463	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"63"	14007	"Male"	1	1	626.3748	0.83126	"Yes"	"1"	539.5276	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"64"	14007	"Female"	1	1	647.6398	1.84583	"Yes"	"0"	696.4807	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"65"	14007	"Male"	1	1	731.2977	1.84583	"Yes"	"1"	666.8996	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"66"	14007	"Male"	1	1	806.7768	0.09535	"Yes"	"1"	681.8987	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"67"	14008	"Female"	1	1	352.5783	0.19556	"Yes"	"1"	352.6408	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
